indice,titulo,identificador,estado_metadatos,cant_errores,cant_distribuciones
139,Índice de Precios al Consumidor. Por capítulos. Base abril 2016,fa8d7eed-1284-485b-a734-a6142334f84e,ERROR,1,2
140,Índice de Precios al Consumidor. Por capítulos. Base 2003.,7790df3c-20ae-4f20-a90d-df0dec40ba18,ERROR,1,2
141,Índice de Precios al Consumidor. Por grupos. Base 2008.,636d94be-82c3-4b05-943b-e4cdb285cfd1,ERROR,1,3
142,Índice de Precios al Consumidor. Por capítulos. Base 10/2013 - 9/2014.,0734e3da-8cbf-42cc-99e8-e694253a9b5b,ERROR,1,2
143,Índice de Precios al Consumidor. Por capítulos. Base abril 2008.,aae1cf3f-6738-46fc-9a83-6ad0d7768d93,ERROR,1,2
144,Índice de Precios al Consumidor. Bienes y Servicios. Base abril 2008,a1ae3e31-a967-47df-b7d3-0815de1d42f1,ERROR,1,3
145,Tasas trimestrales de variación de precios,d5b0fd07-5f61-425c-8019-bb4b45aafd30,ERROR,1,1
146,"CER, UVA y UVI",419f85de-fc10-4aa3-927d-2143af952532,ERROR,1,1
147,Exigencias de encaje o liquidez,d04aee86-c569-4124-8f7e-9f2bd2aa0568,ERROR,1,1
148,Reservas internacionales y pasivos del BCRA,c5d1749b-5775-41f9-a099-bc3f3c12cb10,ERROR,1,1
149,Préstamos a las entidades financieras,b4c80de0-ef00-441d-ac91-2bd3728f2945,ERROR,1,1
150,Agregados monetarios,862818c1-8415-4a73-ad99-fd187be0eddc,ERROR,1,1
151,Principales tasas de interés,3cad7f29-54b0-444e-99e8-d4bd676e1d52,ERROR,1,2
152,Índice de precios de materias primas. Base 1995,939f364d-349d-4248-8efc-348fe84ecece,ERROR,1,3
153,Precios internacionales e índices de materias primas. Base 1980,f3e76629-d85b-442d-bcd0-4f1ede6506c4,ERROR,1,3
154,Posición de inversión Nacional (Base 1991),1b964e41-b427-497f-a657-e2bcfe549dde,ERROR,1,1
155,Balance de Pagos (MBP5),6c4ed587-9643-4c86-9db1-75962ab26754,ERROR,1,2
156,Poder de compra de las exportaciones de bienes y ganancia del intercambio. Base 2004,87139a90-1b55-4775-bbb4-872af3963c28,ERROR,1,1
157,Índice de términos del intercambio. Base 2004,71b86958-7040-45fb-8e0f-93f611de806b,ERROR,1,2
158,"Índices de valor, precio y cantidad de las importaciones de bienes",ebececd2-9bf2-47d5-8c37-30deabe053d3,ERROR,1,2
159,"Índices de valor, precio y cantidad de las exportaciones de bienes",de0143b6-ce74-4458-9408-a23bcb5dc87f,ERROR,1,2
160,Saldo Comercial por Países y Regiones (FOB-CIF),598dfee8-3438-4a50-b96c-5110956d90e8,ERROR,1,3
161,Importaciones CIF por region y país,44be9f98-88b5-4b92-be06-893bb3181d2e,ERROR,1,3
162,Exportaciones FOB por país y region,692d5337-a42b-41d0-80e3-3d840fcd8e4b,ERROR,1,3
163,Importaciones CIF por Uso Económico,53dac051-57d2-4d82-8ad9-86f94e9a591a,ERROR,1,3
164,Exportaciones FOB por rubro,28a1ea25-8a36-4820-ac24-4a2b97391269,ERROR,1,3
165,Intercambio Comercial Argentino,975b2709-da81-4aa0-abfc-9411288fff83,ERROR,1,3
166,"Costo Salarial  promedio del sector privado, por provincia",f2561b4f-efec-46d1-84ed-0c8ec3ab98b4,ERROR,1,2
167,"Remuneración neta de los puestos de trabajo del sector privado, por provincia",86c7a433-cddb-4785-b827-99bbcc741889,ERROR,1,2
168,"Remuneración total de los puestos de trabajo del sector privado, por provincia",be156e79-fbc2-4922-afed-d568535da9b2,ERROR,1,2
169,Puestos de trabajo declarados  por sector provincia,02168d84-fb9d-4445-afb9-012ae32ffbd8,ERROR,1,2
170,"Costo Salarial, por rama de actividad económica",bfe3882a-e51e-4a70-9f09-179019df1593,ERROR,1,2
171,"Remuneración neta de los puestos de trabajo, por sector de actividad económica",e5d7d5ec-deac-444b-a64f-aba224988eed,ERROR,1,2
172,"Remuneración total de los puestos de trabajo, por sector de actividad económica",a95a760e-4bb9-4abc-b2d5-1f9c3287e392,ERROR,1,2
173,Puestos de trabajo declarados  por sector de actividad económica,1b7046d5-37a9-4abc-8e0d-868430bc55ca,ERROR,1,2
174,Población con ingresos por debajo de la línea de pobreza  EPH puntual y continua,b0d325de-5ecf-4c4a-8285-234dc7e4598d,ERROR,1,1
175,Hogares con ingresos por debajo de la línea de pobreza EPH puntual y continua,ab94b24a-4197-4a27-80b9-f357842b8000,ERROR,1,1
